"name","total_spent","customer_category"
"Navya","2206.02","SILVER"
"Aditya","2202.81","SILVER"
"Swara","2183.34","SILVER"
"Pooja","2175.73","SILVER"
"Shaurya","2172.58","SILVER"
"Pari","2166.33","SILVER"
"Meera","2146.42","SILVER"
"Shaurya","2120.40","SILVER"
"Kunal","2108.72","SILVER"
"Arnav","2053.59","SILVER"
"Anjali","2034.28","SILVER"
"Sneha","2024.30","SILVER"
"Varun","2002.62","SILVER"
"Aarav","1982.10","BRONZE"
"Saanvi","1966.54","BRONZE"
"Vihaan","1953.39","BRONZE"
"Swara","1950.78","BRONZE"
"Manav","1926.13","BRONZE"
"Simran","1914.95","BRONZE"
"Lavanya","1911.68","BRONZE"
"Aarav","1911.25","BRONZE"
"Anjali","1908.37","BRONZE"
"Harsh","1886.39","BRONZE"
"Reyansh","1859.43","BRONZE"
"Arjun","1847.83","BRONZE"
"Manav","1832.05","BRONZE"
"Bhavya","1821.13","BRONZE"
"Shreya","1800.29","BRONZE"
"Harsh","1717.21","BRONZE"
"Payal","1705.75","BRONZE"
"Myra","1683.29","BRONZE"
"Deepak","1662.18","BRONZE"
"Tanya","1641.65","BRONZE"
"Payal","1634.29","BRONZE"
"Pooja","1574.93","BRONZE"
"Atharv","1561.84","BRONZE"
"Deepak","1559.18","BRONZE"
"Sneha","1533.91","BRONZE"
"Ira","1533.80","BRONZE"
"Lavanya","1519.57","BRONZE"
"Siddharth","1491.43","BRONZE"
"Ananya","1450.38","BRONZE"
"Aanya","1440.48","BRONZE"
"Sara","1390.27","BRONZE"
"Sneha","1375.31","BRONZE"
"Ananya","1372.59","BRONZE"
"Ananya","1370.09","BRONZE"
"Meera","1345.32","BRONZE"
"Shaurya","1271.25","BRONZE"
"Aniket","1198.62","BRONZE"
"Diya","1002.78","BRONZE"
"Vihaan","982.20","BRONZE"
"Neha","964.60","BRONZE"
"Kabir","933.03","BRONZE"
"Sai","912.46","BRONZE"
"Muhammad","865.56","BRONZE"
"Lavanya","814.88","BRONZE"
"Aarav","687.02","BRONZE"
"Atharv","666.45","BRONZE"
"Anika","662.77","BRONZE"
"Manav","658.81","BRONZE"
"Karthik","629.25","BRONZE"
"Yash","628.23","BRONZE"
"Aditi","572.94","BRONZE"
"Pari","570.62","BRONZE"
"Raj","569.13","BRONZE"
"Priya","533.05","BRONZE"
"Pari","528.80","BRONZE"
"Kunal","462.32","BRONZE"
"Manav","446.44","BRONZE"
"Arjun","383.49","BRONZE"
"Arnav","353.45","BRONZE"
"Sneha","259.03","BRONZE"
"Rohan","149.03","BRONZE"
"Pooja","116.10","BRONZE"
"Bhavya","100.08","BRONZE"
